22417, 4300 OLD ALLEN RD, MEMPHIS, TN, 
22418, 4300 RENNERS, MEMPHIS, TN, 
22419, 4300 RICHIE, MEMPHIS, TN, 
22420, 4300 RIDGE STONE, MEMPHIS, TN, 
22421, 4300 SIDNEY RD, MEMPHIS, TN, 
22422, 4300 TOMAHAWK ST, MEMPHIS, TN, 
22423, 4300 TROOST DR, MEMPHIS, TN, 
22424, 4300 TURTLE CV, MEMPHIS, TN, 
22425, 4300 VERBENA, MEMPHIS, TN, 
22426, 4300 ZAIO AVE, MEMPHIS, TN, 
22427, 4400 ALICE DR, MEMPHIS, TN, 
22428, 4400 ALOHA AVE, MEMPHIS, TN, 
22429, 4400 AMBER LN, MEMPHIS, TN, 
22430, 4400 AUBURN, MEMPHIS, TN, 
22431, 4400 CAREY DR, MEMPHIS, TN, 
22432, 4400 DAVEY DR, MEMPHIS, TN, 
22433, 4400 DON ST, MEMPHIS, TN, 
22434, 4400 DOUBLE TREE, MEMPHIS, TN, 
22435, 4400 E FARONIA SQ, MEMPHIS, TN, 
22436, 4400 E WIND, MEMPHIS, TN, 
22437, 4400 FERNDALE RD, MEMPHIS, TN, 
22438, 4400 JANICE, MEMPHIS, TN, 
22439, 4400 N CHERRY CREEK LN, MEMPHIS, TN, 
22440, 4400 RIDGEWOOD, MEMPHIS, TN, 
22441, 4400 RIVIERA RD, MEMPHIS, TN, 
22442, 4400 S GERMANTOWN RD, MEMPHIS, TN, 
22443, 4400 SANDY PARK, MEMPHIS, TN, 
22444, 4400 SEWANEE RD, MEMPHIS, TN, 
22445, 4400 SHADOW OAKS CV, MEMPHIS, TN, 
22446, 4400 SWINNEA RD, MEMPHIS, TN, 
22447, 4400 TIMBER RISE, MEMPHIS, TN, 
22448, 4500 ANDORRA CT, MEMPHIS, TN, 
22449, 4500 BOYCE AVE, MEMPHIS, TN, 
22450, 4500 BURNETTE PLACE, MEMPHIS, TN, 
22451, 4500 FAIR MEADOW, MEMPHIS, TN, 
22452, 4500 FLAIRWOOD, MEMPHIS, TN, 
22453, 4500 FOREST VALLEY DR, MEMPHIS, TN, 
22454, 4500 GIVEN AVE, MEMPHIS, TN, 
22455, 4500 GREEN CREEK DR, MEMPHIS, TN, 
22456, 4500 HARVEST HILL, MEMPHIS, TN, 
22457, 4500 POPLAR AV, MEMPHIS, TN, 
22458, 4500 S 3RD, MEMPHIS, TN, 
22459, 4500 SEWANEE, MEMPHIS, TN, 
22460, 4500 STAGE RD, MEMPHIS, TN, 
22461, 4500 STONE WAY LN, MEMPHIS, TN, 
22462, 4500 TIMBER RISE, MEMPHIS, TN, 
22463, 4600 BEACON HILLS, MEMPHIS, TN, 
22464, 4600 CHARLESWOOD, MEMPHIS, TN, 
22465, 4600 CRAIGMONT, MEMPHIS, TN, 
22466, 4600 DEER LN, MEMPHIS, TN, 
22467, 4600 GAILWOOD AVE, MEMPHIS, TN, 
22468, 4600 MARTHA COLE, MEMPHIS, TN, 
22469, 4600 OWEN, MEMPHIS, TN, 
22470, 4600 PAULA DR, MEMPHIS, TN, 
22471, 4600 RANGE LINE, MEMPHIS, TN, 
22472, 4600 SCARLET LEAF CV, MEMPHIS, TN, 
22473, 4600 SUMNERS WELLS RD, MEMPHIS, TN, 
22474, 4600 SUNNY SLOPE, MEMPHIS, TN, 
22475, 4600 VIOLET CV, MEMPHIS, TN, 
22476, 4600 WEAVER, MEMPHIS, TN, 
22477, 4600 WHITE FOX ST, MEMPHIS, TN, 
22478, 4700 BURBANK RD, MEMPHIS, TN, 
22479, 4700 GARDEN OAK, MEMPHIS, TN, 
22480, 4700 MARCEL, MEMPHIS, TN, 
22481, 4700 MICKEY, MEMPHIS, TN, 
22482, 4700 MILLPORT CV SOUTH, MEMPHIS, TN, 
22483, 4700 PARTRIDGE CT, MEMPHIS, TN, 
22484, 4700 PAULA DR, MEMPHIS, TN, 
