23438, 2200 BROOKLINE RD, MEMPHIS, TN, 
23439, 2200 CTLAND, MEMPHIS, TN, 
23440, 2200 FRISCO AVE, MEMPHIS, TN, 
23441, 2200 JEFFERSON AVE, MEMPHIS, TN, 
23442, 2200 PENNINGTON GAP, MEMPHIS, TN, 
23443, 2200 RIVERTRACE, MEMPHIS, TN, 
23444, 2200 ROCKY STREAM DR, MEMPHIS, TN, 
23445, 2200 ROCKY STREAM, MEMPHIS, TN, 
23446, 2200 WELLINGTON, MEMPHIS, TN, 
23447, 2300 BOBOLINK TRAIL, MEMPHIS, TN, 
23448, 2300 CANDLEWYCK CR, MEMPHIS, TN, 
23449, 2300 E SHELBY, MEMPHIS, TN, 
23450, 2300 HEARD, MEMPHIS, TN, 
23451, 2300 HEATHERWOOD CV, MEMPHIS, TN, 
23452, 2300 LABELLE, MEMPHIS, TN, 
23453, 2300 LOCHLEVIN, MEMPHIS, TN, 
23454, 2300 LOVITT, MEMPHIS, TN, 
23455, 2300 NUNNELEE AVE, MEMPHIS, TN, 
23456, 2300 OXFORD SQ CT, MEMPHIS, TN, 
23457, 2300 PRATT ST, MEMPHIS, TN, 
23458, 2300 SLOCUM AVE, MEMPHIS, TN, 
23459, 2300 SOUTH LAUDERDALE, MEMPHIS, TN, 
23460, 2300 SPARKS ST, MEMPHIS, TN, 
23461, 2300 WALKER, MEMPHIS, TN, 
23462, 2300 ZANONE AVE, MEMPHIS, TN, 
23463, 2400 BURT CV, MEMPHIS, TN, 
23464, 2400 CHISWOOD ST, MEMPHIS, TN, 
23465, 2400 DAYWOOD AVE, MEMPHIS, TN, 
23466, 2400 DEWIGHT, MEMPHIS, TN, 
23467, 2400 FLORIDA, MEMPHIS, TN, 
23468, 2400 JAN, MEMPHIS, TN, 
23469, 2400 KIRBY RD, MEMPHIS, TN, 
23470, 2400 KIRBY WOODS CV, MEMPHIS, TN, 
23471, 2400 MC GOWAN DR, MEMPHIS, TN, 
23472, 2400 N GERMANTOWN RD, MEMPHIS, TN, 
23473, 2400 SOUTH PKWY, MEMPHIS, TN, 
