18360, S 43RD ST / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40212
18361, S 5TH ST / CAMDEN AVE, LOUISVILLE, KY, 40214
18362, S 5TH ST / COLORADO AVE, LOUISVILLE, KY, 40208
18363, S 5TH ST / GHEENS AVE, LOUISVILLE, KY, 40214
18364, S 6TH ST / BERTRAND ST, LOUISVILLE, KY, 40203
18365, S 6TH ST / MONTANA AVE, LOUISVILLE, KY, 40208
18366, S 6TH ST / MYRTLE ST, LOUISVILLE, KY, 40208
18367, S 7TH ST / MYRTLE ST, LOUISVILLE, KY, 40208
18368, S 9TH ST / COLORADO AVE, LOUISVILLE, KY, 40208
18369, S 9TH ST / W BURNETT AVE, LOUISVILLE, KY, 40208
18370, S CALUMET CT / WILSHIRE BLVD, LOUISVILLE, KY, 40214
18371, S HANCOCK ST / E BROADWAY, LOUISVILLE, KY, 40202
18372, S HURSTBOURNE PKY / I64W, LOUISVILLE, KY, 40222
18373, S HURSTBOURNE PKY / TIMBERWOOD CIR, LOUISVILLE, KY, 40222
