BLOCK_ADDRESS,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
14800 OLD HENRY RD,1,,,,,,,,,1
14800 REHL RD,,,1,,,,,,,1
15 I264W,,,,,,,,,1,1
15 I265N,,,,,,,,1,,1
15.2 I264W,,,,,,,,1,,1
1500 36TH ST,,,,,,,,,1,1
1500 AUTUMN RIDGE RD,,1,,,,,,,,1
1500 BLAND ST,1,,,,,,,,,1
1500 BROWNS LN,,1,,,,,,,,1
1500 CRUMS LN #50 LN,,,,,,,,,1,1
1500 ESQUIRE ALY,,,,,,,,,1,1
1500 GEORGETOWN PL,1,,,,,,,,,1
1500 HILL ROAD CT,,,,1,,,,,,1
1500 HILL ST,,,,,,,,,1,1
1500 HURLINGHAM CT,,1,,,,,,,,1
1500 HURSTBOURNE,,,,,,,1,,,1
1500 I 264 WEST,1,,,,,,,,,1
1500 KING OF ARMS,,1,,,,,,,,1
1500 LYNN WAY,1,,,,,,,,,1
1500 MADISON ST,,,,,,,,,1,1
1500 OCALA RD,,1,,,,,,,,1
1500 PLYMOUTH CT,,,,1,,,,,,1
1500 QUADRANT,,,,1,,,,,,1
1500 SHAKES RUN DR,,1,,,,,,,,1
1500 STONE ALY,,1,,,,,,,,1
1500 TREVILIAN WAY,1,,,,,,,,,1
1500 TWIN DR,,1,,,,,,,,1
1500 VALLEY BROOK RD,,,1,,,,,,,1
15000 OAKVISTA WAY,1,,,,,,,,,1
15000 TRAVERT WAY,,,,,,1,,,,1
15100 BARBET WAY,,,,,,,,,1,1
15100 PIERCY MILL RD,,,,,,,,,1,1
15200 BECKLEY CROSSING DR,,1,,,,,,,,1
15200 BRISTOL HARBOR AVE,,,,1,,,,,,1
15200 PIERCY MILL RD,,,,,,,,,1,1
1522 SHINGO AVE,1,,,,,,,,,1
1526 WILSON AVE,,1,,,,,,,,1
15300 BECKLEY CROSSING DR,,1,,,,,,,,1
15300 CRYSTAL SPRINGS WAY,,,1,,,,,,,1
15300 FAIRWAY VISTA PL,1,,,,,,,,,1
1538 W ST CATHERINE ST,,,1,,,,,,,1
15400 BRUSH RUN RD,,,,1,,,,,,1
15500 DAWSON HILL PL,1,,,,,,,,,1
15500 DEER RUN RD,1,,,,,,,,,1
15500 HIGHWAY 148,,,,,,,,,1,1
15800 PLUM CREEK TRL,,,,1,,,,,,1
15900 AIKEN RD,,,,,,,,,1,1
15900 PIERCY MILL RD,,,1,,,,,,,1
16 I64W,,,,,,,,1,,1
1600 APPLEWOOD LN,1,,,,,,,,,1
1600 ARCADE,,,,,,,,1,,1
1600 BARRET HILL RD,,,,,,,,,1,1
1600 BEECHWOOD,,,,,,,,,1,1
1600 BULGER CT DR,,,,,,,,,1,1
1600 CARLIMAR LN,,,1,,,,,,,1
1600 CLARA AVE AVE,,,,,,,,,1,1
1600 CLARK STATION RD,1,,,,,,,,,1
1600 CLEARVIEW DR,1,,,,,,,,,1
1600 COOPER AVE,,,,1,,,,,,1
1600 DUNCAN ST,,,,,,,,,1,1
1600 FORREST DR,,,1,,,,,,,1
1600 GOLDEN LEAF WAY,,,1,,,,,,,1
1600 KEEVER CT,,,,,,,,,1,1
1600 LYNN WAY,,1,,,,,,,,1
1600 ORMSBY ST,,1,,,,,,,,1
1600 PARKSHIRE LN,1,,,,,,,,,1
1600 PENILE RD,,1,,,,,,,,1
1600 PIRTLE ST,,1,,,,,,,,1
1600 S 16TH ST / W BROADWAY,,,1,,,,,,,1
1600 S 23RD ST,1,,,,,,,,,1
1600 S 5TH ST,,,,,,,,,1,1
1600 S 6TH ST,,1,,,,,,,,1
1600 SHAKES RUN DR,1,,,,,,,,,1
1600 SOUTH PARK RD,1,,,,,,,,,1
1600 STONE ALY,1,,,,,,,,,1
1600 SYLVAN WAY,,1,,,,,,,,1
1600 WOOD THRUSH TRCE,,,,,,,,,1,1
16000 HIGHWAY 148,,,1,,,,,,,1
16300 DIXIE BEACH RD,1,,,,,,,,,1
16300 ROCKCREST VIEW LN,,,,,,,,,1,1
16400 DONNINGTON CT,,1,,,,,,,,1
16400 SHELBYVILLE RD,,,,,,,,,1,1
16600 CHESTNUT GLEN PL,1,,,,,,,,,1
16600 TAUNTON VALE RD,,,,1,,,,,,1
16700 HOMESTEAD TRCE,,,1,,,,,,,1
16800 CROSSTIMBERS CT,,,,,,,,,1,1
16800 HOMESTEAD TRCE,,,,,,,,,1,1
16800 SHAKES CREEK DR,,1,,,,,,,,1
16900 ASH HILL DR,1,,,,,,,,,1
16900 HOMESTEAD TRCE,,1,,,,,,,,1
16900 TAYLORSVILLE RD,,,,1,,,,,,1
16TH /GARLAND AVE,,1,,,,,,,,1
1700 BRECKINRIDGE ST,,,1,,,,,,,1
1700 CARDINAL CT,,,1,,,,,,,1
1700 DOWNHAM LN,,,1,,,,,,,1
1700 GIRARD DR,1,,,,,,,,,1
1700 HERBERT AVE,1,,,,,,,,,1
1700 I 264 WEST,1,,,,,,,,,1
1700 KENTUCKY ST,,,,,,,,,1,1
1700 LEROY AVE,1,,,,,,,,,1
1700 MEREMONT RIDGE RD,,,,,,,,,1,1
1700 NELLIGAN AVE,,1,,,,,,,,1
1700 NELSON AVE,,,,1,,,,,,1
1700 NIGHTINGALE CT,1,,,,,,,,,1
1700 RESEARCH DR,1,,,,,,,,,1
1700 S 34TH ST,,1,,,,,,,,1
1700 SWEETBRIAR LN,,,,,,,,,1,1
1700 TIMBER TRCE,,,,,,,,,1,1
1700 WEST ST. CATHERINE STREET,,,,,,,,,1,1
1700 WILLARD ARMS,1,,,,,,,,,1
17000 BRADBE RD,,1,,,,,,,,1
17000 EPSON CT,,,,,,,,,1,1
17000 SHELBYVILLE RD,1,,,,,,,,,1
1705 W GAULBERT AVE,1,,,,,,,,,1
1707 LIBERTY BELL WAY,1,,,,,,,,,1
1714 S 13TH ST,,,1,,,,,,,1
1718 W HILL ST,,1,,,,,,,,1
17200 CEDAR OAK TRL,,,1,,,,,,,1
17200 TAYLORSVILLE RD,1,,,,,,,,,1
1729 MCCLOSKEY AVE,,,,1,,,,,,1
17400 CHERRY POINT CIR,,,,,,,,,1,1
175 OUTER LOOP,1,,,,,,,,,1
175 OUTERLOOP (WALMART),,,,,,,,1,,1
17500 POLO CREEK PL,,,,1,,,,,,1
17500 STALLION WAY,,,,,,,,,1,1
17500 TURTLE CREEK TRL,,1,,,,,,,,1
17600 AIKEN RD,,,1,,,,,,,1
17600 POPE DALE RD,,,,1,,,,,,1
17600 SHAKES CREEK DR,,,,,,,,,1,1
17700 DIXIE HWY,1,,,,,,,,,1
17800 DEERTRACE LN,,,,,,,,,1,1
17900 DUCKLEIGH CT,,,,,,,1,,,1
18 I264E,,,,,,,,,1,1
18 I64E,,,,,,,,1,,1
18.2 I264W,,,,,,,,,1,1
18.4 I265N,,,,,,,,1,,1
1800 2ND ST,,,,,,,,,1,1
1800 ARGONNE AVE,1,,,,,,,,,1
1800 BREEZE CIR,,,,,,1,,,,1
1800 CAMPUS PL,,1,,,,,,,,1
1800 CARL CT #5 CT,,,,,,,,,1,1
1800 DOVE CREEK BLVD,,,1,,,,,,,1
1800 DRESCHER BRIDGE AVE,,,,,,,,,1,1
1800 EMBASSY SQUARE BLVD,1,,,,,,,,,1
1800 GLENGARRY DR,,,,,,,,,1,1
1800 GOLDEN LEAF WAY,,,,1,,,,,,1
1800 GRANTHAM CT,1,,,,,,,,,1
1800 I 264 WEST,,1,,,,,,,,1
1800 MARY CATHERINE DR,,,,1,,,,,,1
1800 NELLIGAN AVE,1,,,,,,,,,1
1800 OEHRLE DR,,1,,,,,,,,1
1800 ORMSBY LN,,1,,,,,,,,1
1800 PARK BOUNDARY RD,,,,,,,,,1,1
1800 PIRTLE ST,,1,,,,,,,,1
1800 STRAWBERRY LN,,,,,,,,,1,1
1800 TYLER PKWY,,,,,,,,,1,1
1800 WINSFORD PL,1,,,,,,,,,1
1800 WOODFIELD RD,,,,1,,,,,,1
18000 IVY SPRINGS CT,,,,1,,,,,,1
18000 MEETING HOUSE RD,,,1,,,,,,,1
18000 SANNER RIDGE LN,,1,,,,,,,,1
1800B DOUGLASS BLVD,,,,,,,,,1,1
18800 LONG GROVE WAY,,,,,,,,,1,1
18800 SW 117TH AVE,,,,,,1,,,,1
19 I64W,,,,,,,,1,,1
1900 35TH #100 ST,,,1,,,,,,,1
1900 BLK ROWAN ST,,,,1,,,,,,1
1900 CONGRESS ST,1,,,,,,,,,1
1900 EVERGREEN RD,,1,,,,,,,,1
1900 I 64 EAST,1,,,,,,,,,1
1900 LEXINGTON RD,,,1,,,,,,,1
1900 LONESOME HOLLOW RD,,1,,,,,,,,1
1900 MILLGATE RD,,,,,,,,,1,1
1900 PEABODY LN #4 LN,,,1,,,,,,,1
1900 PRODUCTION CT,,,1,,,,,,,1
1900 REES ST,,,,,,1,,,,1
1900 ROYCEWOOD CT,,,1,,,,,,,1
1900 S 22ND ST,,,1,,,,,,,1
1900 S 23RD ST,,,,1,,,,,,1
1900 S 2ND ST,,1,,,,,,,,1
1900 SHERWOOD AVE,,,1,,,,,,,1
1920 PENILE RD,,,,,,,,,1,1
2 I264W,,,,,,,,,1,1
2 I71S,,,,,1,,,,,1
2.2 I71N,,,,,,,,1,,1
200 34TH ST,,,,,,,,,1,1
200 43RD ST,,,,,,,,,1,1
200 ARBOR PARK,,,,,,,,,1,1
200 BLK ABRAHAM FLEXNER WAY-JEWISH HOSPITAL,,,,,,,,1,,1
200 BRAUNER WAY,,,,,,,,,1,1
200 BUSH RD,,1,,,,,,,,1
200 CEDAR GROVE RD,,1,,,,,,,,1
200 CHADWICK GLEN PL,,,1,,,,,,,1
200 DORSEY LN,,1,,,,,,,,1
200 E BRANDEIS AVE,,,,,,,,,1,1
200 GREY LEDGE CIR,,,,,,,,,1,1
200 I 71 NORTH,1,,,,,,,,,1
200 KENTUCKY ST,,,,,,,,1,,1
200 LIVERTON CT,,,,1,,,,,,1
200 MARENGO RD,,1,,,,,,,,1
200 N 22,,,,,,,,,1,1
200 N 2ND ST,,,1,,,,,,,1
200 N WATTERSON TRL,,,,1,,,,,,1
200 OVERLOOK ROAD,,,,1,,,,,,1
200 PENGUIN ST,,,,,,,,,1,1
200 RIDGEDALE RD,,,,1,,,,,,1
200 S 11TH ST,1,,,,,,,,,1
200 S 17TH ST,,,1,,,,,,,1
200 S 21ST ST,,,,,,,,,1,1
200 S 34TH ST,1,,,,,,,,,1
200 S 6TH ST,,,,,,,,,1,1
200 S CAMPBELL ST,,,,1,,,,,,1
200 S CHADWICK RD,,,,1,,,,,,1
200 SHELBY & JEFFERSON,,,,,,,,,1,1
200 SOUTHSIDE CT,,,,1,,,,,,1
200 SPRINGVIEW CT,,,,1,,,,,,1
200 W SOUTHERN HEIGHTS AVE,,1,,,,,,,,1
200 WESTPORT RD/ WESTPORT GREEN,,,,,,,,,1,1
2000 ASCENDER CT,,,,,,,,,1,1
2000 BARINGER,,,,,,,,1,,1
2000 BELLARMINE BLVD,,,,,,,,,1,1
2000 BLK LANDING DR,,,,,,,,,1,1
2000 BOLLING AVE,,,,,,,,,1,1
2000 BROWNS LN,1,,,,,,,,,1
2000 CHARTER OAKS DR,,,,,,,,,1,1
2000 CROP ST,,1,,,,,,,,1
2000 DATE ST,,,,1,,,,,,1
2000 DEERCROSS DR,1,,,,,,,,,1
2000 FANDANGO CT,,,,,,,,,1,1
2000 FERN VALLEY,,,,,,,,,1,1
2000 FOREST POINTE LN,,,,,,,,,1,1
2000 I 264 WEST,1,,,,,,,,,1
2000 LANNAN PARK RD,,,,,,,1,,,1
2000 N FIRST STREET WALK,,,,1,,,,,,1
2000 NORTHWESTERN PKWY,,,,,,,,,1,1
2000 PRODUCTION DR,,,,,,,,,1,1
2000 S ENGLISH STATION RD,,,1,,,,,,,1
2000 SAINT XAVIER ST,,,,,,,,,1,1
2000 SOUTH PARK RD,,,1,,,,,,,1
2000 W MADISON ST,,,,,,,,,1,1
2006 TERRIL LN #4,,,,,,,,,1,1
21.0 LOUISVILLE LOOP,,,,1,,,,,,1
2100 39TH ST,,,1,,,,,,,1
2100 BURNETT AVE,,,,,,,,,1,1
2100 EAST LN,,1,,,,,,,,1
2100 FERN VALLEY RD,,,,,,,,,1,1
2100 GAUBERT AVENUE,,,,,,1,,,,1
2100 GREYLING DR,1,,,,,,,,,1
2100 I 264 EAST,1,,,,,,,,,1
2100 I 265 SOUTH,1,,,,,,,,,1
2100 I 64 WEST,1,,,,,,,,,1
2100 JEFFERSON ST,,,,,,,,,1,1
2100 LAKELAND RD,,1,,,,,,,,1
2100 LEAHURST CT,,,1,,,,,,,1
2100 PRODUCTION DR,1,,,,,,,,,1
2100 S 3RD ST,,1,,,,,,,,1
2100 S CICERO AVE,,,,,,,1,,,1
2100 S ENGLISH STATION RD,,,1,,,,,,,1
2100 SPOTSWOOD LN,,,1,,,,,,,1
2100 STONY BROOK DR,,,,,,,,,1,1
2122 GREENWOOD AVE,,1,,,,,,,,1
21500 I 265 RAMP,1,,,,,,,,,1
22 I64E,,,,,,,,,1,1
22 I64W,,,,,,,,,1,1
22.6 I64W,,,,,,,,1,,1
2200 10/ ROWAN,,,,,,,,,1,1
2200 7TH ST/ HILL ST ST,,,,,,,,,1,1
2200 ABRAHAM FLEXNER WAY,,,,,,,,,1,1
2200 BECKLEY CREEK PKY,,,,,,,,,1,1
2200 BILJANA DR,,,,,,,,,1,1
2200 CLARK STATION RD,1,,,,,,,,,1
2200 CLAYMORE CIR,,,,,,,,,1,1
2200 DATE STREET,,1,,,,,,,,1
2200 DUMENSIL,1,,,,,,,,,1
2200 DUUNCAN,,,,1,,,,,,1
2200 EASTERN PKY,,1,,,,,,,,1
2200 GURSKY CT,,,,1,,,,,,1
2200 JEFFERSON ST,,,,,,,,,1,1
2200 MARYLAND AVE,,,,1,,,,,,1
2200 NEWBRIDGE RD,,,,,,,,,1,1
2200 OREGON AVE,1,,,,,,,,,1
2200 ORMSBY AVE,,,,,,,,,1,1
2200 OWEN ST,,,1,,,,,,,1
2200 POLO CREEK LN,,,,,,,,,1,1
2200 S BROOK ST,,,,,,,,,1,1
2200 S HURSTBOURNE PKY,1,,,,,,,,,1
2200 ST XAVIER,1,,,,,,,,,1
2200 STEPHAN RD,,1,,,,,,,,1
2200 STONE ALY,,,1,,,,,,,1
2200 STONEHURST DR,,,,1,,,,,,1
2200 STOWERS LN,1,,,,,,,,,1
2200 VIRGINIA,,1,,,,,,,,1
23.8 I64E,,,,,,,,1,,1
2300 23RD ST,,,,,,,,,1,1
2300 36TH ST,,,,,,,,,1,1
2300 AMPERE DR,1,,,,,,,,,1
2300 BRANNING RD,,,,,,,,,1,1
2300 DONLEIGH CT,,1,,,,,,,,1
2300 FLUHR LN,,,,1,,,,,,1
2300 INGLESIDE DR,,,,1,,,,,,1
2300 LAMBORNE BLVD,,1,,,,,,,,1
2300 LEE ST,,,,,,,,,1,1
2300 MAIN ST,,,,,,,,,1,1
2300 RAUSCH DR,,1,,,,,,,,1
2300 W CHESTNUT AVE,,,,,,,,1,,1
2300 WENDLER LN,,,,,,,,,1,1
2300 WESLEYAN CT,,,1,,,,,,,1
2300 WIBBEN AVE,1,,,,,,,,,1
231 E CHESTNUT ST,,,,1,,,,,,1
2321 DIXDALE AVE,,1,,,,,,,,1
23400 WACO CT,,,,,,,,,1,1
24.6 I265S,,,,,,,,1,,1
2400 7TH ST,,,,,,,,,1,1
2400 AGANZA DR,,,,1,,,,,,1
2400 ANCHOR WAY,1,,,,,,,,,1
2400 CLEVELAND AVE,,,1,,,,,,,1
2400 EASTBRIDGE CT,,,,1,,,,,,1
2400 FOXY POISE RD,,1,,,,,,,,1
2400 GARFIELD AVE,,1,,,,,,,,1
2400 HALE AVE,,,,1,,,,,,1
2400 I 265 SOUTH,1,,,,,,,,,1
2400 I 64 WEST,1,,,,,,,,,1
2400 LEXINGTON AVE,,1,,,,,,,,1
2400 LONESOME HOLLOW RD,,,1,,,,,,,1
2400 LONG RUN RD,,,,,,,,,1,1
2400 MCKINDREE,1,,,,,,,,,1
2400 MUHAMMAD ALI BLVD,,,,,,,,,1,1
2400 NORTHFIELD CT,,,1,,,,,,,1
2400 SHELBY ST,,,,,,,,,1,1
2400 STONE ALY,,,,1,,,,,,1
2400 TREVILIAN WAY,1,,,,,,,,,1
2400 VINEDALE AVE,,,,1,,,,,,1
25 I265S,,,,,,,,1,,1
2500 ALFORD AVE,,,,,,,,,1,1
2500 ALGONQUIN PKY,,,1,,,,,,,1
2500 CHARLES CT,,,1,,,,,,,1
2500 CONSTANT COMMENT PL,,,,,,,,,1,1
2500 EASTPOINT PKY,,1,,,,,,,,1
2500 EVERGREEN RD,,,,1,,,,,,1
2500 FERN VALLEY RD,,,,1,,,,,,1
2500 HURSTBOURNE GEM LN,1,,,,,,,,,1
2500 JEFFERSON ST,,,,,,,,,1,1
2500 LINDBERGH DR,,1,,,,,,,,1
2500 MAIN ST,,,1,,,,,,,1
2500 OAK ST,,,,,,,,,1,1
2500 RALPH AVE,,,,1,,,,,,1
2500 ROGER HUGHES WAY,,,,1,,,,,,1
2500 S 25TH ST / W HILL ST,1,,,,,,,,,1
2500 SPOTSWOOD LN,1,,,,,,,,,1
2500 TAMERLANE CT,,,,,,,,,1,1
2500 TREGARON AVE,,1,,,,,,,,1
2500 TYLER ALY,1,,,,,,,,,1
2500 WOODMONT DR,,1,,,,,,,,1
2528 CEDAR STREET,,,,1,,,,,,1
2600 BEALS BRANCH RD,,1,,,,,,,,1
2600 BLANKENBAKER RD,1,,,,,,,,,1
2600 BREEZE CIR,,,,,,1,,,,1
2600 CONSTANT COMMENT PL,,,1,,,,,,,1
2600 CRITTENDEN DR,,,1,,,,,,,1
2600 DOUGLASS BLVD,,1,,,,,,,,1
2600 E BURNETT AVE,1,,,,,,,,,1
2600 EASTWOOD FISHERVILLE RD,1,,,,,,,,,1
2600 ENGLEWOOD AVE,,1,,,,,,,,1
2600 GEORGETOWN CIR,,,,,,,,,1,1
2600 I 265 NORTH,1,,,,,,,,,1
2600 LIME KILN LN,1,,,,,,,,,1
2600 MARKET ST,,,,,,,,,1,1
2600 MERRIWOOD DR,,,,1,,,,,,1
2600 MOCKSHIRE DR,1,,,,,,,,,1
2600 NORTHWESTERN PKWY,,,,,,,,,1,1
2600 PIONEER RD,,,1,,,,,,,1
2600 S 26TH ST,,,,1,,,,,,1
2600 TREGARON AVE,,,1,,,,,,,1
2600 TUCKER STATION RD,,,,,,,,,1,1
2600 VALLEY VISTA RD,,,1,,,,,,,1
2601 W. BROADWAY-DINO`S,,,,1,,,,,,1
2607 FRANKLIN AVE,,,,,,,,,1,1
27.4 I265S,,,,,,,,,1,1
2700 4TH ST,,,,,,,,,1,1
2700 5TH ST,,1,,,,,,,,1
2700 7TH ST,,,,1,,,,,,1
2700 CLIFFWOOD AVE,,1,,,,,,,,1
2700 DURBING AVE,,,,,,,,,1,1
2700 EASTWOOD FISHERVILLE RD,,,1,,,,,,,1
2700 EDLIN LN,,,1,,,,,,,1
2700 FLOYD ST,,1,,,,,,,,1
2700 GRASSLAND DR,,1,,,,,,,,1
2700 HALE AVENUE,,1,,,,,,,,1
2700 I 265 NORTH,1,,,,,,,,,1
2700 I 265 SOUTH,1,,,,,,,,,1
2700 KARLSRUHE AVE,,,1,,,,,,,1
2700 MAIN ST,,1,,,,,,,,1
2700 MUHAMMAD ALI BLVD,,,,,,,,,1,1
2700 NEWBURG RD,,,,1,,,,,,1
2700 PARKLAWN DR,,1,,,,,,,,1
2700 RIVER RD,,,1,,,,,,,1
2700 S 28TH ST,,,,,,,,,1,1
2700 S POPE LICK RD,1,,,,,,,,,1
2700 TRANSGLOBAL DR,,,,,1,,,,,1
2700 WAREHAM RD,,1,,,,,,,,1
2710 W. BROADWAY -KROGER,,,,1,,,,,,1
28 ADVENTURE RD,,,,1,,,,,,1
2800 28TH/ GREENWOOD,,1,,,,,,,,1
2800 7TH ST,,,,,,,,,1,1
2800 7TH ST RD,,,,,,,,,1,1
2800 ALGONQUIN PKY,,,1,,,,,,,1
2800 AVON RD,,,,,,,,,1,1
2800 BRADFORD GROVE LN,,,,,,,,,1,1
2800 EDLIN LN,1,,,,,,,,,1
2800 FLOYD ST,,,,,,,,,1,1
2800 GILLIGAN ST,,,1,,,,,,,1
2800 I 265 NORTH,1,,,,,,,,,1
2800 KENNERSLEY DR,,,1,,,,,,,1
2800 MADISON ST,,,,,,,,,1,1
2800 PEE WEE REESE RD,,,,1,,,,,,1
2800 TYLER AVE,1,,,,,,,,,1
2800 WEST MARKET ST,,,,1,,,,,,1
2900 ASPENDALE RD,1,,,,,,,,,1
2900 BEAUMONT,,,1,,,,,,,1
2900 BLANKENBAKER RD,,,1,,,,,,,1
2900 BRECKINRIDGE LANE LN,,,,,,,,,1,1
2900 CROP ST,,,1,,,,,,,1
2900 ESTHER BLVD,,1,,,,,,,,1
2900 FREYS HILL RD,,1,,,,,,,,1
2900 GILLIGAN ST,,1,,,,,,,,1
2900 LEE,,,,,,,,1,,1
2900 LIME KILN LN,,,,1,,,,,,1
2900 MORAN AVE,,,,1,,,,,,1
2900 NORBOURNE WAY,1,,,,,,,,,1
2900 RALPH AVE,,,,,,,,,1,1
2900 WADE LEE CT,,,,1,,,,,,1
2900 WEST MUHAMMAD ALI,,,,1,,,,,,1
2900 WOODLAND AVE,,1,,,,,,,,1
300 20TH ST,,,1,,,,,,,1
300 23RD ST,,,,,,,,,1,1
300 26TH ST,,,1,,,,,,,1
300 34TH ST,,,,,,,,,1,1
300 BARDSTOWN RD,1,,,,,,,,,1
300 BEECHER ST,,,,,,,,,1,1
300 BLAIR COURT,,,,,,,,,1,1
300 BROADWAY,,,,,,,,,1,1
300 DELMONT AVE,1,,,,,,,,,1
300 E GRAY ST,1,,,,,,,,,1
300 EASTBRIDGE CT,,1,,,,,,,,1
300 EASTWOOD FISHERVILLE RD,,,,1,,,,,,1
300 ELINE AVE,,,1,,,,,,,1
300 ENGLISH STATION WAY,,,1,,,,,,,1
300 FLAT ROCK RD,,1,,,,,,,,1
300 FOEBURN LN,,,,,,,,,1,1
300 HEYWOOD AVE,,,1,,,,,,,1
300 I 64 WEST,1,,,,,,,,,1
300 JOHNSON RD,1,,,,,,,,,1
300 MARKSFIELD CIR,,,,1,,,,,,1
300 S 2ND ST,,,,1,,,,,,1
300 S 7TH ST,,,,1,,,,,,1
300 S 8TH ST,,,1,,,,,,,1
300 S BROOK ST,,,,1,,,,,,1
300 S CAMPBELL ST,,,,,,,,,1,1
300 S CHADWICK RD,,,1,,,,,,,1
300 S HURSTBOURNE PKY,1,,,,,,,,,1
300 S SHERRIN AVE,1,,,,,,,,,1
300 SUMMIT CT,,,,,,,,,1,1
300 WAKEFIELD TRCE,,1,,,,,,,,1
300 WEST BRECKINRIDGE,1,,,,,,,,,1
300 WOODED FALLS RD,,,1,,,,,,,1
3000 ASPENWOOD WAY,,,1,,,,,,,1
3000 BEALS BRANCH RD,1,,,,,,,,,1
3000 BROADWAY,,,,,,,,,1,1
3000 CROMARTY WAY,,1,,,,,,,,1
3000 DERINGTON CT,,,,,,,,,1,1
3000 HINSDALE CT,1,,,,,,,,,1
3000 JOHN ROWAN BLVD,,,,,,,,,1,1
3000 KENTUCKY ST,,,,,,,,,1,1
3000 KOZY KREEK,,,,,,,,,1,1
3000 LARUE CT,1,,,,,,,,,1
3000 NEWBURG RD,1,,,,,,,,,1
3000 NORMA LEE DR,,,,,,,,,1,1
3000 PEE WEE REESE RD,,1,,,,,,,,1
3000 ROYPOM DR,,,1,,,,,,,1
3000 RUDD AVE,1,,,,,,,,,1
3000 SAINT DENNIS AVE,,,,,,,,,1,1
301 N 32ND ST,,,,,,,,,1,1
3100 BINNACLE PL,,,,,,,,,1,1
3100 BROADBENT DR,,,,,,,,1,,1
3100 BROOKLAWN CAMPUS DRIVE,,,,,,,,,1,1
3100 BROWNHURST COVE RD,1,,,,,,,,,1
3100 CARRIAGE HILL DR,,,1,,,,,,,1
3100 CHENOWETH RUN RD,,,,1,,,,,,1
3100 GOLDSMITH LN,,,,,,,,,1,1
3100 GRAND,,,,1,,,,,,1
3100 GREENDALE DR,,,1,,,,,,,1
3100 KINGSWOOD WAY,,,,1,,,,,,1
3100 LIME KILN LN,,,,,,,,,1,1
3100 MCATEE AVE,,1,,,,,,,,1
3100 MILDRED DR,1,,,,,,,,,1
3100 NOVA VW,,1,,,,,,,,1
3100 RAMSER AVE,,,,1,,,,,,1
3100 SORA AVE,1,,,,,,,,,1
3100 SOUTH PARK RD,,1,,,,,,,,1
3141 TAYLOR BLVD,,,,,,,,,1,1
318 N 30TH ST,,1,,,,,,,,1
32 I265S,,,,,,,,1,,1
32.4 I265N,,,,,,,,1,,1
320 W JEFFERSON ST,,,,1,,,,,,1
3200 BITTERWOOD CT,1,,,,,,,,,1
3200 BLEVINS GAP RD,,,1,,,,,,,1
3200 BOXHILL LN,,,1,,,,,,,1
3200 BRIGHTSIDE CT,1,,,,,,,,,1
3200 CABINWOOD DR,,,1,,,,,,,1
3200 CHAMBERLAIN LN,,,,,,,,,1,1
3200 CHAUNCEY AVE,,1,,,,,,,,1
3200 CHESTNUT ST,,,,,,,,,1,1
3200 DALE ANN DR,,,1,,,,,,,1
3200 DEWDROP CT,,,,1,,,,,,1
3200 FALLSHERE CT,,1,,,,,,,,1
3200 GOLDSMITH LN,1,,,,,,,,,1
3200 I 265 NORTH,1,,,,,,,,,1
3200 I 265 SOUTH,1,,,,,,,,,1
3200 ILLINOIS AVE,,1,,,,,,,,1
3200 INDUSTRIAL BLVD,,,,,,,,,1,1
3200 LONGFORD LN,1,,,,,,,,,1
3200 MORNINGVIEW DR,,,1,,,,,,,1
3200 ORCHARD MANOR CIR #3 CIR,,1,,,,,,,,1
3200 POMER CT,,,,,,,,,1,1
3200 QUEENSWOOD RD,,,1,,,,,,,1
3200 ROCK BROOK CT,,,1,,,,,,,1
3200 S 4TH ST,,,,,,,,,1,1
3227 W KENTUCKY ST,,1,,,,,,,,1
3235 RIVER PARK DR,1,,,,,,,,,1
3300 ALGONQUIN PKWY,1,,,,,,,,,1
3300 CALAIS DR,,,,1,,,,,,1
3300 CATHE DYKSTRA WAY,,,,,,,,,1,1
3300 COUNTY LINE RD,,,1,,,,,,,1
3300 CRITTENDEN DR,,,,,,,,,1,1
3300 EMERALD DR,,1,,,,,,,,1
3300 FORTAS CT,,1,,,,,,,,1
3300 HILLVIEW DR,,,,1,,,,,,1
3300 HURSTBOURNE SPRINGS DR,1,,,,,,,,,1
3300 KENTUCKY ST,,,,,,,,,1,1
3300 LANFAIR CT,,1,,,,,,,,1
3300 MOUNT RAINIER DR,,,,,,,,,1,1
3300 NELINDA MAY DR,,,,,,,,,1,1
3300 PHILLIPS LN,,1,,,,,,,,1
3300 RANGELAND RD,1,,,,,,,,,1
3300 ROGER E SCHUPP ST,,,,,,,,1,,1
3300 SOUTH PARK RD,,,1,,,,,,,1
3300 SUTTON LN,,,,1,,,,,,1
3300 TUCKER STATION RD,,,,1,,,,,,1
3300 W JEFFERSON ST,,1,,,,,,,,1
3300 WILSON AVE,1,,,,,,,,,1
3300 WYNBROOKE CIR,1,,,,,,,,,1
3400 28TH AND BROADWAY,,,1,,,,,,,1
3400 3731 1/2 KAHLERT AVE.,,,,,,1,,,,1
3400 7TH/ W MUHAMMAD ALI BLVD,,,,,,,,,1,1
3400 BELLISIMA PL,1,,,,,,,,,1
3400 BOHNE,,,,,,1,,,,1
3400 CALAIS DR,,,1,,,,,,,1
3400 DR WILLIAM G WEATHERS,,,1,,,,,,,1
3400 FISHERVILLE WOODS CT,,,,1,,,,,,1
3400 HIKES LN,1,,,,,,,,,1
3400 HILL STREET,,,1,,,,,,,1
