NIBRS_Offense_Code,NIBRS_Crime_Against,NIBRS_Offense_Category,NIBRS_Offense_Type,incident_category,incident_description
520,Crimes against society,Weapon Law Violations,578 Weapon Law Violations,WEAPONS OFFENSE,"EXPLOSIVE DEVICE, LOCATED"
520,Crimes against society,Weapon Law Violations,530 Weapon Law Violations,WEAPONS CARRYING ETC,"EXPLOSIVES, ILLEGAL TRANSPORTATION"
210,Crimes against property,Extortion/Blackmail,210 Extortion/Blackmail,EXTORTION,EXTORTION
210,Crimes against property,Extortion/Blackmail,210 Extortion/Blackmail,EXTORTION,EXTORTION OR BLACKMAIL
210,Crimes against property,Extortion/Blackmail,210 Extortion/Blackmail,OTHER MISCELLANEOUS,EXTORTION OR BLACKMAIL
210,Crimes against property,Extortion/Blackmail,210 Extortion/Blackmail,EXTORTION,"EXTORTION, ATTEMPTED"
210,Crimes against property,Extortion/Blackmail,210 Extortion/Blackmail,OTHER MISCELLANEOUS,"EXTORTION, ATTEMPTED"
99Y,Excluded cases,Excluded cases,99Y Non-Reportable Crimes,OTHER OFFENSES,FAILURE TO HEED RED LIGHT AND SIREN
90F,Crimes against society,"Family Offenses, Nonviolent","90F Family Offenses, Nonviolent",FAMILY OFFENSES,FAILURE TO PROVIDE FOR CHILD
90F,Crimes against society,"Family Offenses, Nonviolent","90F Family Offenses, Nonviolent",FAMILY OFFENSES,FAILURE TO PROVIDE FOR PARENTS
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG/NARCOTIC,FAILURE TO REGISTER AS NARCOTICS ADDICT
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,FAILURE TO REGISTER AS SEX OFFENDER
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,"FALSE CLAIMS, PRESENTING TO GOVERNMENT"
90G,Crimes against society,Liquor Law Violations (except Driving Under the Influence and Drunkenness),90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),LIQUOR LAWS,FALSE EVIDENCE OF AGE BY MINOR
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,FALSE EVIDENCE OF VEHICLE REGISTRATION
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,FALSE FIRE ALARM
26C,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26C Impersonation,FRAUD,FALSE ID TO PEACE OFFICER
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,ASSAULT,FALSE IMPRISONMENT
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,KIDNAPPING,FALSE IMPRISONMENT
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,OTHER MISCELLANEOUS,FALSE IMPRISONMENT
26C,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26C Impersonation,FRAUD,FALSE PERSONATION
26C,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26C Impersonation,OTHER OFFENSES,FALSE PERSONATION
26C,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26C Impersonation,FRAUD,FALSE PERSONATION AND CHEAT CRIMES (GENERAL)
26C,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26C Impersonation,OTHER OFFENSES,FALSE PERSONATION AND CHEAT CRIMES (GENERAL)
26C,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26C Impersonation,FRAUD,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY
26C,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26C Impersonation,OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,"FALSE PRETENSES, GRAND THEFT"
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,"FALSE PRETENSES, PETTY THEFT"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,FALSE REPORT OF BOMB
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,FALSE REPORT OF CRIME
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,FRAUD,FALSE REPORT OF EMERGENCY
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER MISCELLANEOUS,FALSE REPORT OF EMERGENCY
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER MISCELLANEOUS,FALSE REPORT OF FELONY OR MISDEMEANOR
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,FRAUD,FALSE REPORT OF POLICE MISCONDUCT
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER MISCELLANEOUS,FALSE REPORT OF POLICE MISCONDUCT
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,FALSE REPRESENTATION TO SECONDHAND DEALER
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY/COUNTERFEITING,FALSIFICATION OF MEDICAL RECORDS
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,FALSIFICATION OF MEDICAL RECORDS
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY/COUNTERFEITING,FALSIFYING JUDICIAL & PUBLIC RECORDS & DOCUMENTS
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,OTHER OFFENSES,FEDERAL LAW VIOLATION (GENERAL)
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,"FIGHTING DOG OR ANIMAL, BITING OR CAUSING  INJURY OR DEATH"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY/COUNTERFEITING,"FINANCIAL STATEMENTS, FALSE"
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,"FINANCIAL STATEMENTS, FALSE"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,MALICIOUS MISCHIEF,"FIRE ALARM, FALSE"
520,Crimes against society,Weapon Law Violations,531 Weapon Law Violations,WEAPONS CARRYING ETC,"FIRE BOMB, POSSESSION OR USE"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,OTHER OFFENSES,FIRE CODE VIOLATION (GENERAL)
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),297 Destruction/Damage/Vandalism of Property (except Arson),MALICIOUS MISCHIEF,"FIRE PROTECTION EQUIPMENT, TAMPERING WITH"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,FIRE REPORT,FIRE REPORT
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,FIRE REPORT
200,Crimes against property,Arson,200 Arson,ARSON,"FIRE, UNLAWFULLY CAUSING"
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,DISORDERLY CONDUCT,FIREARM POSSESSION IN SCHOOL ZONE
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPON LAWS,FIREARM POSSESSION IN SCHOOL ZONE
520,Crimes against society,Weapon Law Violations,532 Weapon Law Violations,WEAPONS CARRYING ETC,FIREARM POSSESSION IN SCHOOL ZONE
520,Crimes against society,Weapon Law Violations,533 Weapon Law Violations,WEAPONS CARRYING ETC,"FIREARM SILENCER, POSSESSION"
520,Crimes against society,Weapon Law Violations,579 Weapon Law Violations,WEAPONS OFFENSE,"FIREARM TRANSFER, VIOLATION"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,OTHER MISCELLANEOUS,FIREARM WITH ALTERED IDENTIFICATION
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPON LAWS,FIREARM WITH ALTERED IDENTIFICATION
520,Crimes against society,Weapon Law Violations,534 Weapon Law Violations,WEAPONS CARRYING ETC,FIREARM WITH ALTERED IDENTIFICATION
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,DRUG VIOLATION,"FIREARM, ARMED WHILE POSSESSING CONTROLLED SUBSTANCE"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPON LAWS,"FIREARM, ARMED WHILE POSSESSING CONTROLLED SUBSTANCE"
520,Crimes against society,Weapon Law Violations,535 Weapon Law Violations,WEAPONS CARRYING ETC,"FIREARM, ARMED WHILE POSSESSING CONTROLLED SUBSTANCE"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPON LAWS,"FIREARM, CARRYING LOADED WITH INTENT TO COMMIT FELONY"
520,Crimes against society,Weapon Law Violations,536 Weapon Law Violations,WEAPONS CARRYING ETC,"FIREARM, CARRYING LOADED WITH INTENT TO COMMIT FELONY"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,ASSAULT,"FIREARM, DISCHARGING AT AN INHABITED DWELLING"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,ASSAULT,"FIREARM, DISCHARGING AT OCCUPIED BLDG, VEHICLE, OR AIRCRAFT"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,ASSAULT,"FIREARM, DISCHARGING AT UNOCCUPIED BLDG, VEHICLE OR AIRCRAFT"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,ASSAULT,"FIREARM, DISCHARGING IN GROSSLY NEGLIGENT MANNER"
520,Crimes against society,Weapon Law Violations,580 Weapon Law Violations,WEAPONS OFFENSE,"FIREARM, DISCHARGING WITHIN CITY LIMITS"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPON LAWS,"FIREARM, LOADED, IN VEHICLE, POSSESSION OR USE"
520,Crimes against society,Weapon Law Violations,537 Weapon Law Violations,WEAPONS CARRYING ETC,"FIREARM, LOADED, IN VEHICLE, POSSESSION OR USE"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,ASSAULT,"FIREARM, NEGLIGENT DISCHARGE"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPON LAWS,"FIREARM, NEGLIGENT DISCHARGE"
520,Crimes against society,Weapon Law Violations,538 Weapon Law Violations,WEAPONS CARRYING ETC,"FIREARM, NEGLIGENT DISCHARGE"
520,Crimes against society,Weapon Law Violations,539 Weapon Law Violations,WEAPONS CARRYING ETC,"FIREARM, POSSESSION BY PROHIBITED PERSON"
520,Crimes against society,Weapon Law Violations,540 Weapon Law Violations,WEAPONS CARRYING ETC,"FIREARM, POSSESSION OF LOADED"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPON LAWS,"FIREARM, POSSESSION OF WHILE WEARING MASK"
520,Crimes against society,Weapon Law Violations,541 Weapon Law Violations,WEAPONS CARRYING ETC,"FIREARM, POSSESSION OF WHILE WEARING MASK"
520,Crimes against society,Weapon Law Violations,542 Weapon Law Violations,WEAPONS CARRYING ETC,"FIREARM, TAMPERING WITH MARKS"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,"FIREARM, TURNED IN BY PUBLIC"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,ASSAULT,"FIREARM, DISCHARGING IN GROSSLY NEGLIGENT MANNER"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,ASSAULT,"FIREARM,????DISCHARGING IN GROSSLY NEGLIGENT MANNER"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,OTHER OFFENSES,"FIREARMS, SEIZING AT SCENE OF DV"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,OFFENCES AGAINST THE FAMILY AND CHILDREN,"FIREARMS, SEIZING AT SCENE OF DVU"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER MISCELLANEOUS,"FIREFIGHTER, INTERFERING WITH"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,OTHER MISCELLANEOUS,"FIREWORKS, EXPLODING"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,OTHER MISCELLANEOUS,"FIREWORKS, POSSESSION OF ANY WITHIN SF,  INCL. ""SAFE & SANE"""
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,OTHER MISCELLANEOUS,"FIREWORKS, THROW AT PERSON OR DISCHARGE IN CROWD"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,OTHER OFFENSES,"FIREWORKS, THROW AT PERSON OR DISCHARGE IN CROWD"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,OTHER MISCELLANEOUS,"FLAMMABLE OR EXPLOSIVE DEVICE, POSSESSION"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPON LAWS,"FLAMMABLE OR EXPLOSIVE DEVICE, POSSESSION"
520,Crimes against society,Weapon Law Violations,543 Weapon Law Violations,WEAPONS CARRYING ETC,"FLAMMABLE OR EXPLOSIVE DEVICE, POSSESSION"
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,"FOOD STAMPS, MISUSE OF"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,"FOOD STAMPS, MISUSE OF"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,"FOOD STAMPS, UNLAWFUL USE BY RETAILER"
11A,Crimes against person,Sex Offenses,11A Rape (except Statutory Rape),"SEX OFFENSES, FORCIBLE","FORCIBLE RAPE, ARMED WITH A DANGEROUS WEAPON"
11A,Crimes against person,Sex Offenses,11A Rape (except Statutory Rape),"SEX OFFENSES, FORCIBLE","FORCIBLE RAPE, ARMED WITH A GUN"
11A,Crimes against person,Sex Offenses,11A Rape (except Statutory Rape),"SEX OFFENSES, FORCIBLE","FORCIBLE RAPE, ARMED WITH A SHARP INSTRUMENT"
11A,Crimes against person,Sex Offenses,11A Rape (except Statutory Rape),"SEX OFFENSES, FORCIBLE","FORCIBLE RAPE, BODILY FORCE"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,DRUG/NARCOTIC,FORGE OR ALTER PRESCRIPTION
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY/COUNTERFEITING,FORGERY & COUNTERFEITING (GENERAL)
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY/COUNTERFEITING,"FORGERY, CHECKS, FELONY"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FRAUD,"FORGERY, CREDIT CARD"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY/COUNTERFEITING,"FORGERY, DRIVERS LICENSE OR ID-CARD"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY/COUNTERFEITING,"FORGERY, FALSE ENTRIES IN RECORDS OR RETURNS"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY/COUNTERFEITING,"FORGERY, GOVERNMENT OR CORPORATE SEALS"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY/COUNTERFEITING,"FORGERY, NOTES"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY/COUNTERFEITING,"FORGERY, POSSESSION DRIVERS LICENSE OR ID-CARD"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,FORTUNE TELLING
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,FOUND  PROPERTY
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,MISSING PERSON,FOUND PERSON
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,FOUND PROPERTY
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,FRAUDULENT AUCTION
26B,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26B Credit Card/Automated Teller Machine Fraud,FRAUD,FRAUDULENT CREDIT APPLICATION
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY"
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,OTHER OFFENSES,"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY"
26B,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26B Credit Card/Automated Teller Machine Fraud,FRAUD,FRAUDULENT USE OF AUTOMATED TELLER CARD
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG/NARCOTIC,FURNISHING MARIJUANA
39A,Crimes against society,Gambling Offenses,39A Betting/Wagering,GAMBLING,GAMBLING
39C,Crimes against society,Gambling Offenses,39C Gambling Equipment Violations,GAMBLING,"GAMBLING DEVICES, POSSESSION"
39C,Crimes against society,Gambling Offenses,39C Gambling Equipment Violations,GAMBLING,"GAMBLING PARAPHERNALIA, POSSESSION"
39A,Crimes against society,Gambling Offenses,39A Betting/Wagering,GAMBLING,GAMING & HORSE RACING (GENERAL)
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SECONDARY CODES,GANG ACTIVITY
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,DISORDERLY CONDUCT,GANG RELATED (SECONDARY ONLY)
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),298 Destruction/Damage/Vandalism of Property (except Arson),MALICIOUS MISCHIEF,GRAFFITI ON GOVERNMENT VEHICLES OR PUBLIC TRANSPORTATION
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),VANDALISM,GRAFFITI ON GOVERNMENT VEHICLES OR PUBLIC TRANSPORTATION
23G,Crimes against property,Larceny/Theft Offenses,23G Theft of Motor Vehicle Parts or Accessories,LARCENY/THEFT,GRAND THEFT AUTO STRIP
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,GRAND THEFT BICYCLE
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,GRAND THEFT BY PROSTITUTE
23E,Crimes against property,Larceny/Theft Offenses,23E Theft From Coin-Operated Machine or Device,LARCENY/THEFT,GRAND THEFT COIN OPERATED MACHINE
23D,Crimes against property,Larceny/Theft Offenses,23D Theft From Building,LARCENY/THEFT,GRAND THEFT FROM A BUILDING
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,GRAND THEFT FROM PERSON
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO
23G,Crimes against property,Larceny/Theft Offenses,23G Theft of Motor Vehicle Parts or Accessories,LARCENY/THEFT,GRAND THEFT MOTORCYCLE STRIP
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,GRAND THEFT OF PROPERTY
23E,Crimes against property,Larceny/Theft Offenses,23E Theft From Coin-Operated Machine or Device,LARCENY/THEFT,GRAND THEFT PHONE BOOTH
23A,Crimes against property,Larceny/Theft Offenses,23A Pocket-picking,LARCENY/THEFT,GRAND THEFT PICKPOCKET
23A,Crimes against property,Larceny/Theft Offenses,23A Pocket-picking,LARCENY/THEFT,GRAND THEFT PURSESNATCH
23C,Crimes against property,Larceny/Theft Offenses,23C Shoplifting,LARCENY/THEFT,GRAND THEFT SHOPLIFTING
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,NON-CRIMINAL,"GUIDE DOG, INTERFERING WITH"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,"GUIDE DOG, INTERFERING WITH"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,,GUN VIOLENCE RESTRAINING ORDER
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,,GUN VIOLENCE RESTRAINING ORDER VIOLATION
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,HABITUAL TRUANT
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,"HALLUCINOGENIC,  POSSESSION FOR SALE"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,"HALLUCINOGENIC, SALE"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,"HALLUCINOGENIC, TRANSPORTATION"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,HALLUCINOGENICS OFFENSE
90F,Crimes against society,"Family Offenses, Nonviolent","90F Family Offenses, Nonviolent",FAMILY OFFENSES,HARASSING CHILD OR WARD BECAUSE OF PERSON'S EMPLOYMENT
90F,Crimes against society,"Family Offenses, Nonviolent","90F Family Offenses, Nonviolent",OFFENCES AGAINST THE FAMILY AND CHILDREN,HARASSING CHILD OR WARD BECAUSE OF PERSON'S EMPLOYMENT
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,HARASSING PHONE CALLS
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,OFFENCES AGAINST THE FAMILY AND CHILDREN,HATE CRIME (SECONDARY ONLY)
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,NON-CRIMINAL,"HAZARDOUS MATERIALS,  DUMP ANY SUBSTANCE INTO WATER"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,"HAZARDOUS MATERIALS,  DUMP ANY SUBSTANCE INTO WATER"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,"HAZARDOUS MATERIALS, DUMP OIL INTO SEWERS"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,NON-CRIMINAL,"HAZARDOUS MATERIALS, DUMPING IN UNAUTHORIZED LOCATION"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,"HAZARDOUS MATERIALS, DUMPING IN UNAUTHORIZED LOCATION"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,"HAZARDOUS MATERIALS, DUMPING IN UNAUTHORIZED LOCATN"
